activation,epochs,hidden_layers,hidden_units,Train_Accuracy,Test_Accuracy,Train_Loss,Test_Loss,Test_f1_Score
relu,191,3,77,98.45,97.89,0.036,0.09600000083446503,0.979
LeakyReLU,107,5,39,95.99,96.95,0.088,0.06300000101327896,0.969
LeakyReLU,110,4,22,95.0,95.78,0.108,0.08399999886751175,0.958
LeakyReLU,115,1,99,94.9,95.27,0.119,0.10100000351667404,0.953
relu,190,4,13,94.6,94.33,0.133,0.1599999964237213,0.943
relu,52,1,22,92.52,92.0,0.176,0.15399999916553497,0.92
tanh,179,3,43,90.78,90.98,0.22,0.19699999690055847,0.91
tanh,103,2,80,90.88,90.47,0.213,0.21400000154972076,0.905
softmax,66,2,72,88.31,89.89,0.283,0.2720000147819519,0.899
tanh,57,4,23,87.99,89.38,0.269,0.26600000262260437,0.894
