activation,epochs,hidden_layers,hidden_units,Train_Accuracy,Test_Accuracy,Train_Loss,Test_Loss,Test_f1_Score
LeakyReLU,40,2,66,94.18,100.0,0.135,0.02800000086426735,1.0
tanh,115,2,35,96.22,100.0,0.089,0.02800000086426735,1.0
relu,138,4,83,96.27,99.33,0.084,0.029999999329447746,0.993
relu,35,1,72,96.02,98.67,0.184,0.06599999964237213,0.987
relu,124,2,71,96.41,98.67,0.087,0.035999998450279236,0.987
tanh,177,5,45,96.67,98.0,0.079,0.04699999839067459,0.98
LeakyReLU,111,3,76,96.97,97.33,0.079,0.06300000101327896,0.973
tanh,30,3,11,83.39,94.0,0.411,0.20900000631809235,0.94
softmax,112,4,72,37.01,26.67,1.094,1.125,0.267
softmax,34,4,32,36.55,20.0,1.095,1.1230000257492065,0.2
